ds,y,day_of_week,month,day_month,isIncrease,isDrop,isschool
2023-07-25,32.0,1,7,25,0,0,0
2023-07-26,23.0,2,7,26,0,0,0
2023-07-27,16.0,3,7,27,0,1,0
2023-07-28,27.0,4,7,28,0,0,0
2023-07-29,26.0,5,7,29,0,0,0
2023-07-31,19.0,0,7,31,0,0,0
2023-08-01,20.0,1,8,1,0,0,0
2023-08-02,15.0,2,8,2,0,1,0
2023-08-03,20.0,3,8,3,0,0,0
2023-08-04,23.0,4,8,4,0,0,0
2023-08-05,18.0,5,8,5,0,0,0
2023-08-06,24.0,6,8,6,0,0,0
2023-08-07,28.0,0,8,7,0,0,0
2023-08-08,22.0,1,8,8,0,0,0
2023-08-09,17.0,2,8,9,0,0,0
2023-08-10,35.0,3,8,10,0,0,0
2023-08-11,18.0,4,8,11,0,0,0
2023-08-12,23.0,5,8,12,0,0,0
2023-08-13,16.0,6,8,13,0,1,0
2023-08-14,18.0,0,8,14,0,0,0
2023-08-15,22.0,1,8,15,0,0,0
2023-08-16,35.0,2,8,16,0,0,0
2023-08-17,24.0,3,8,17,0,0,0
2023-08-18,37.0,4,8,18,0,0,0
2023-08-19,19.0,5,8,19,0,0,0
2023-08-20,32.0,6,8,20,0,0,1
2023-08-21,32.0,0,8,21,0,0,1
