ds,y,day_of_week,month,day_month,isSpecial,isschool
2023-07-25,5.0,1,7,25,0,0
2023-07-26,5.0,2,7,26,0,0
2023-07-27,4.0,3,7,27,0,0
2023-07-28,6.0,4,7,28,0,0
2023-07-29,6.0,5,7,29,0,0
2023-07-30,2.0,6,7,30,0,0
2023-07-31,6.0,0,7,31,0,0
2023-08-01,2.0,1,8,1,0,0
2023-08-02,4.0,2,8,2,0,0
2023-08-03,3.0,3,8,3,0,0
2023-08-04,7.0,4,8,4,0,0
2023-08-06,7.0,6,8,6,0,0
2023-08-07,7.0,0,8,7,0,0
2023-08-08,3.0,1,8,8,0,0
2023-08-09,4.0,2,8,9,0,0
2023-08-10,8.0,3,8,10,0,0
2023-08-11,8.0,4,8,11,0,0
2023-08-12,2.0,5,8,12,0,0
2023-08-13,5.0,6,8,13,0,0
2023-08-14,8.0,0,8,14,0,0
2023-08-15,3.0,1,8,15,0,0
2023-08-16,9.0,2,8,16,0,0
2023-08-17,8.0,3,8,17,0,0
2023-08-18,5.0,4,8,18,0,0
2023-08-19,3.0,5,8,19,0,0
2023-08-20,5.0,6,8,20,0,1
2023-08-21,7.0,0,8,21,0,1
